Respondent ID,How easy is it to balance your work life and personal life where you work?,"Paid Family Leave  (e.g. Parental Leave, Bereavement Leave)",Flex Time/Alternative Schedule,Job Share,"Child Care (e.g. referrals, reimbursement, lactation room, and/or services)","Elder Care (e.g. referrals, reimbursement, and/or services)",Adoption/Infertility Support (financial),"Recognition of Religious Diversity (e.g. extended holidays, dedicated prayer room)","Wellness (e.g. fitness, nutrition, stress management, mindfulness services)",Temporary or Permanent Switch to Part Time,"Emergency Leave/Life Events Time Off (e.g. military service, bereavement)",Telecommute/Remote Workplace,Not Sure,None/Not Applicable,"Paid Family Leave  (e.g. Parental Leave, Bereavement Leave)",Flex Time/Alternative Schedule,Job Share,"Child Care (e.g. referrals, reimbursement, lactation room, and/or services)","Elder Care (e.g. referrals, reimbursement, and/or services)",Adoption/Infertility Support (financial),"Recognition of Religious Diversity (e.g. extended holidays, dedicated prayer room)","Wellness (e.g. fitness, nutrition, stress management, mindfulness services)",Temporary or Permanent Switch to Part Time,"Emergency Leave/Life Events Time Off (e.g. military service, bereavement)",Telecommute/Remote Workplace,Not Sure,None/Not Applicable,Does your organization have stated values about work/life balance?,How well does your experience with your employer align with these values?,Does your organization state its values about diversity? ,How well does your experience with your employer align with these values?,"In your personal experience, how supportive do you find the culture in your organization?",Do you have any additional comments about work/life balance?,Have you ever taken voluntary or involuntary extended leave (more than regular vacation or paid time off) from your career?,Please note the length of your latest or most significant leave,Please indicate the reason(s) for your leave:,Other (please specify),How much of an impact did your time off have on your career progression?,Please characterize the effect:,Do you have any additional comments about career breaks?,Recognition from Colleagues/Peers,Recognition from Leadership,Promotions,Compensation,Access to Manager(s),Project/Committee/Team Assignments,Opportunities for Public Speaking/Writing,Leadership Opportunities,Do you have any additional comments about career satisfaction?,Does your company offer in-house training and development and/or pay for participation in external programs?,Have you ever participated in in-house or external programs for professional training and development,Skills Training,Personal Development,Management/Leadership Development,Certification Program,Degree Program,Diversity & Inclusion and/or Implicit Bias Training,Other (please specify),To what degree did participation advance or benefit your career?,Do you have any additional comments about professional development?,"Do you currently, or have you ever had a mentor, advocate, sponsor, career coach, or other advisor who helped you to navigate your career?",Was your mentor a . . ? (Answer about one if you've had multiple mentors),Was the relationship part of a formal mentoring program?,Did their support measurably impact your professional growth?,"Have you ever served in the workplace as a mentor, advocate, sponsor, coach, or other advisor? 	","Was your mentee a  . . ? ""(Answer about one if you've had multiple mentees)",Was the relationship part of a formal mentoring program?,Did your support measurably impact the career of the person you advised?,Do you have any additional comments about mentoring?,How often do you take action to interact with your network,Attending Conferences,Socializing With Peers Within Your Company,Socializing With Peers Outside Of Your Company,Using Social Media (e.g. LinkedIn),Other (please specify),Have you advanced your career or experienced other benefits as a result of networking?  ,Do you have any additional comments about networking?,I find the opportunities I want and make them happen,"I let my manager know what I want/expect, with the expectation that will generate opportunities",I am likely to pursue opportunities that become available,I don't pursue opportunities unless I fulfill all/most of the requirements on a job description,I am satisfied with my current position,I wait for someone to approach me with a new opportunity,I only look outside the organization for new opportunities,Do you have a plan for your career progression path for the next one to five years?,I let my manager know what I want/expect - you don't get what you don't ask for!,I count on being recognized for my accomplishments and advocate for myself when appropriate,I avoid discussions about salary/incentives,"I lead the discussion, whether or not I am facilitating the meeting",I contribute to discussions without hesitation,"I try to participate, though often I find it hard to break in to the discussion and/or wonder if anyone hears what I say","I volunteer to take notes, write on the white board, etc","I am an active listener, but generally keep my thoughts to myself",I keep a low profile at meetings,I am being paid fairly for the work that I do,I have fair opportunities to be promoted,I believe that people of all genders have the same opportunities to be promoted in the industry,I believe that people of all ethnicities have the same opportunities to be promoted in the industry,I believe that people of all ages  have the same opportunities to be promoted in the industry,I believe that people of all religious beliefs have the same opportunities to be promoted in the industry,I believe that people of all sexual orientations  have the same opportunities to be promoted in the industry,Do you have any additional comments about attitudes and behaviors?,Demographics,No only,Sensory Impairment,Mobility Impairment,Learning Disability,Mental Health Disorder,Prefer Not To Answer,Other (please specify),Gender Identity,Sexual Identity,Age Group,Residence Region,Birth Region,Ethnic Group,First Language,Religion,Highest level of education,Primary Caregiver?,Demographics comments,Organization type,Size of Organization,Areas of Job,Length with current employer,Length in industry,Kind of employment,Compensation,Additional job comments
100022,Not at all easy,1,1,,,,,,,,,1,,,,,,,,,,,,,1,,,No,,No,,Moderately Supportive,,No,,,,,,,Very Satisfied,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,,Yes,Yes,1,,,1,,,,Substantial,,Yes,Woman,Yes,Somewhat,Yes,Female,No,Not Sure,,Sometimes,,1,1,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100266,Extremely easy,1,1,,,,,,,1,1,1,,,,,,,,,,,,,1,,,No,,Not Sure,,Moderately Supportive,,Yes,1 - 3 months,Illness (Self),,Substantial,Mixed,,Neither Dissatisfied nor Satisfied,Neither Dissatisfied nor Satisfied,Very Dissatisfied,Somewhat Dissatisfied,Very Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,Very Dissatisfied,,Yes,Yes,1,,,,1,1,,Some,,No,,,,Yes,Female,No,Not Sure,,Occasionally,1,1,,1,,No,,Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,No,Neither Agree nor Disagree,Agree,Disagree,Rarely,Often,Rarely,Sometimes,Never,Rarely,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,,,,,,,,,,Female,Prefer Not to Answer,36-50,"Northern America (includes U.S., Canada, Greenland, Bermuda)",,,,,Master's Level Degree,Yes,,"Publisher (Commercial, Society, and University)",11-100,Marketing/Communications,11 – 20 years,11 – 20 years,Full-Time Permanent Staff,,
100424,Somewhat easy,1,,,1,,,,1,,1,1,1,,1,,,1,,,,,,,1,,,Not Sure,,No,,Somewhat Supportive,,Yes,3 - 6 months,Parental,,Minimal,,,Somewhat Satisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Very Satisfied,Somewhat Dissatisfied,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,,Yes,Yes,1,1,1,,,,,Minimal,,Yes,Woman,No,Yes,Yes,Female,No,Not Sure,,Sometimes,1,1,,1,,No,,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Yes,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,,,,,,,,,,Female,Heterosexual,20-35,"Northern America (includes U.S., Canada, Greenland, Bermuda)",,,,,Bachelor's Level Degree,Share Equal Responsibility,,"Publisher (Commercial, Society, and University)","2,001- 10,000",Business Development/Strategy,1-5 years,6 – 10 years,Full-Time Permanent Staff,,
100747,Somewhat easy,1,1,,,,,,1,,1,1,,,1,,,,,,,,,,1,,,No,,Not Sure,,Somewhat Supportive,,Yes,<1 month,Other (please specify),,Minimal,,,Very Satisfied,Somewhat Dissatisfied,Very Dissatisfied,Very Dissatisfied,Somewhat Satisfied,N/A,Somewhat Dissatisfied,Somewhat Dissatisfied,,Yes,Yes,1,,,1,,,,Some,,No,,,,No,,,,,Occasionally,1,1,,1,,Yes,,Agree,Neither Agree nor Disagree,Agree,Agree,Disagree,Agree,Agree,Yes,Agree,Agree,Neither Agree nor Disagree,Sometimes,Always,Rarely,Sometimes,Rarely,Rarely,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,,,,,,,,,Female,Heterosexual,36-50,"Northern America (includes U.S., Canada, Greenland, Bermuda)",,,,,Master's Level Degree,No,,"Publisher (Commercial, Society, and University)",11-100,Editorial/Peer Review,11 – 20 years,11 – 20 years,Full-Time Permanent Staff,,
101263,Somewhat easy,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102323,Extremely easy,,1,,,,,,1,,1,1,,,,1,,,,,,1,,,1,,,No,,Yes,Some Alignment,Moderately Supportive,,Yes,1 - 3 months,Parental,,Minimal,,,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Somewhat Dissatisfied,Somewhat Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Dissatisfied,,Yes,Yes,1,1,,,1,,,Some,,Yes,Man,Yes,Somewhat,No,,,,,Occasionally,1,1,1,1,,Yes,,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Not Sure,Disagree,Agree,Agree,Rarely,Often,Sometimes,Sometimes,Rarely,Sometimes,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,,,,Female,Heterosexual,20-35,"Northern America (includes U.S., Canada, Greenland, Bermuda)",,,,,Master's Level Degree,Share Equal Responsibility,,"Publisher (Commercial, Society, and University)",11-100,Editorial/Peer Review,11 – 20 years,11 – 20 years,Full-Time Permanent Staff,,
102442,Very easy,1,,,1,1,1,,1,,1,,,,1,,,,,,,,,,,,,Not Sure,,Yes,Moderate Alignment,Moderately Supportive,,No,,,,,,,Somewhat Dissatisfied,Somewhat Satisfied,Somewhat Dissatisfied,Somewhat Satisfied,Very Satisfied,Neither Dissatisfied nor Satisfied,Somewhat Satisfied,Somewhat Satisfied,,Yes,Yes,1,,1,,,,,Minimal,,No,,,,Yes,Female,Yes,No,,Occasionally,1,1,1,1,,Yes,,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Yes,Agree,Agree,Disagree,Rarely,Often,Rarely,Rarely,Often,Sometimes,Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,,,,,,,,,,Female,Heterosexual,36-50,"Northern America (includes U.S., Canada, Greenland, Bermuda)",,,,,Master's Level Degree,No,,"Publisher (Commercial, Society, and University)",101-500,Business Development/Strategy,6 – 10 years,11 – 20 years,Full-Time Permanent Staff,,
102512,Not so easy,1,1,,,,,,1,1,1,1,,,,1,,,,,,,,,,,,Yes,Strong Alignment,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102602,Not so easy,1,1,,,,,,,,,1,,,,1,,,,,,,,,1,,,No,,Not Sure,,Very Supportive,,Yes,3 - 6 months,Parental,,Some,Mixed,,Somewhat Satisfied,Very Satisfied,Neither Dissatisfied nor Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Somewhat Dissatisfied,Somewhat Satisfied,,Yes,Yes,1,,1,,,1,,Minimal,,No,,,,No,,,,,Sometimes,1,1,1,1,,Yes,,Neither Agree nor Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Yes,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Sometimes,Never,Often,Sometimes,Often,Rarely,Strongly Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,,,,,,,,,,Female,Heterosexual,36-50,Western Europe,,,,,Master's Level Degree,Share Equal Responsibility,,Industry Organization/Trade Association,11-100,Executive Management,1-5 years,11 – 20 years,Full-Time Permanent Staff,,
102647,Very easy,1,1,,,,,1,,,1,1,,,,1,,,,,,,,,1,,,Yes,Strong Alignment,Yes,Strong Alignment,Very Supportive,,No,,,,,,,Very Satisfied,Very Satisfied,N/A,Very Satisfied,Very Satisfied,Very Satisfied,N/A,Very Satisfied,,Yes,Yes,1,1,,,,,,Substantial,,Yes,Woman,Not Sure,Yes,No,,,,,Sometimes,1,1,1,1,,Yes,,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Yes,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Sometimes,Often,Sometimes,Always,Sometimes,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,Female,Bisexual,20-35,"Northern America (includes U.S., Canada, Greenland, Bermuda)",,,,,Master's Level Degree,No,,Publishing Services Provider,11-100,"Administration (e.g., Finance, HR, Legal)",< 1 year,< 1 year,Full-Time Permanent Staff,,
